url,Bottling_serie,Vintage,Bottled,Number_of_bottles,Strength,Size,Casktype,Bottled_for,Stated_Age,Casknumber,Bottle_code,Calculated_age,Label,Barcode,rating,votes,category,price,distillery,bottler
https://www.whiskybase.com/whiskies/whisky/11164/bowmore-1964-gold,,1964,2009,701,42.4,700 ml 750 ml,3 Bourbon & 1 Oloroso Sherry Casks,,44,,,45,,,94.92,92,Single Malt,22702.88,Bowmore,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/65422/ledaig-1972,Dùsgadh,1972,2014,500,46.7,700 ml,Various Casks + Oloroso Sherry Casks Finish,,42,,,42,,5029704218080,94.91,66,Single Malt,4009.07,Tobermory,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/3999/bowmore-1964-white,,1964,2008,732,42.8,700 ml 750 ml,Bourbon cask,,43,,,44,,,94.89,105,Single Malt,31329.69,Bowmore,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/38897/bowmore-1967,,1967,,,50,750 ml,Sherry Casks,Soffiantino Import,,,,,,,94.89,41,Single Malt,6954,Bowmore,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/1307/ardbeg-1976,Feis Ile 2002,1976,2002,494,53.1,700 ml,Sherry Butt,,,2390,,26,,,94.88,99,Single Malt,5108.91,Ardbeg,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/34513/bowmore-1964,,1964,2012,72,42.9,700 ml,Fino Sherry Finish,,,,,48,,,94.88,27,Single Malt,17356.88,Bowmore,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/39752/glen-grant-27-year-old-rwd,,,1982,120,43,750 ml,Sherry Wood,Samaroli,27,,,,,,94.86,37,Single Malt,980,Glen Grant,R. W. Duthie & Co. (RWD)
https://www.whiskybase.com/whiskies/whisky/46607/mortlach-1930-ud,Mort Lach,1930,1972,,52,700 ml,,Geo Cowie & Son Ltd.,,112,,42,AuslÃ¤ndisches Erzeugnis,,94.85,28,Single Malt,700,Mortlach,UD - bottler (UD)
https://www.whiskybase.com/whiskies/whisky/14391/springbank-1966,Local Barley - West Highland,1966,1990,,58.1,50 ml 750 ml,Oak Sherry Cask,,24,1966 443,,24,,,94.84,83,Single Malt,10492,Springbank,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/72279/glendronach-1972,Single Cask - Batch 12,1972,2015,414,51.1,700 ml,Pedro XimÃ©nez Sherry Butt,,43,706,,43,,5060399682077,94.84,133,Single Malt,4668.23,Glendronach,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/9248/the-prestonfield-1965-mbo,,1965,,,43,750 ml,Sherry Wood,"Prestonfield House, Edinburgh",22,47,,,,,94.82,106,Single Malt,16254.27,Bowmore,Morrison Bowmore Distillers Ltd (MBo)
https://www.whiskybase.com/whiskies/whisky/8855/bowmore-1966-hsc,The Scottish Colourists,1966,2001,175,43.7,750 ml,,,35,3300,,35,,,94.81,35,Single Malt,4244,Bowmore,High Spirits' Collection (HSC)
https://www.whiskybase.com/whiskies/whisky/6284/bowmore-1966-kb,Celtic Series,1966,,300,43.7,700 ml,Hogshead,,35,3300,,,,,94.8,45,Single Malt,2258.03,Bowmore,Kingsbury (Kb)
https://www.whiskybase.com/whiskies/whisky/8342/bowmore-1964-black,First Edition,1964,1993,2000,50,700 ml,Sherry Cask,,29,,,29,,,94.77,125,Single Malt,27104.65,Bowmore,Distillery Bottling
